2023-08-11 13:52:09, BUY, Varun Beverag, 3.84%
2023-08-11 14:05:05, SELL, Varun Beverag, NA
2023-08-11 14:05:13, BUY, Gujarat Fluoro, 6.51%
2023-08-11 14:05:14, BUY, REC, 3.86%
2023-08-11 14:05:15, BUY, Varun Beverag, 3.73%
2023-08-11 14:34:13, BUY, HCL Tech, 3.80%
2023-08-11 14:44:18, SELL, REC, 3.32%
2023-08-11 14:46:53, BUY, BHEL, 3.91%
2023-08-11 14:56:56, BUY, REC, 3.83%
2023-08-11 15:00:12, SELL, Gujarat Fluoro, NA
2023-08-11 15:00:13, SELL, Varun Beverag, NA
2023-08-11 15:00:14, SELL, HCL Tech, NA
2023-08-11 15:00:15, SELL, BHEL, NA
2023-08-11 15:00:16, SELL, REC, NA
2023-08-11 15:00:23, BUY, Gujarat Fluoro, 6.34%
2023-08-11 15:00:23, BUY, Varun Beverag, 4.10%
2023-08-11 15:00:24, BUY, REC, 3.88%
2023-08-11 15:15:14, BUY, JSPL, 3.44%
2023-08-11 15:16:16, SELL, REC, 3.32%
2023-08-11 20:18:13, BUY, REC, 3.55%
2023-08-11 23:29:28, BUY, HCL Tech, 3.28%
2023-08-11 23:29:47, BUY, Gujarat Fluoro, 6.51%
2023-08-11 23:30:59, SELL, HCL Tech, NA
2023-08-11 23:31:01, SELL, Gujarat Fluoro, NA
2023-08-11 23:31:09, BUY, npany Name, %
2023-08-11 23:31:11, SELL, npany Name, NA
